Feature number,Description
1,Fraction of clauses that are unit clauses
2,Fraction of clauses that are Horn clauses
3,Fraction of clauses that are ground Clauses
4,Fraction of clauses that are demodulators
5,Fraction of clauses that are rewrite rules (oriented demodulators)
6,Fraction of clauses that are purely positive
7,Fraction of clauses that are purely negative
8,Fraction of clauses that are mixed positive and negative
9,Maximum clause length
10,Average clause length
11,Maximum clause depth
12,Average clause depth
13,Maximum clause weight
14,Average clause weight
